,Name,NumAtoms,SMILES,Num_Conformers,Bond_Type,Is_Aromatic,TPSA,MaxPartialCharge,MinPartialCharge,ExactMolecularWeight,FPDensityMorgan1,FPDensityMorgan2,FPDensityMorgan3,HeavyAtomWt,MaxAbsPartialCharge,MinAbsPartialCharge,AverageMolWt,NumRadicalElectrons,NumValenceElectrons,RingCount,MolMR,MolLogP,BalbanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,Asphericity,Eccentricity,InertialShapeFactor,NPR1,NPR2,PMI1,PMI2,PMI3,RadiusOfGyration,SpherocityIndex,FractionalCSP3,HeavyAtomCount,NHOHCount,NOCount,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,pyLabuteASA,WeightedSumofADSProperties,QED_UsingMaxDescriptorWeights,QED_UsingAVGDescriptorWeights,QED_UsingUnitWeights,FormalCharge,NumSpiroAtoms,PBF
0,ZINC02563881,24.0,[H]C1=C(C([H])([H])[N+]([H])([H])[H])N=C(c2c([H])c([H])c([H])c(Cl)c2[H])S1,1.0,1.0,False,40.0,,,225.02477342008999,1.7142857142857142,2.642857142857143,3.5,215.64399999999998,,,225.72400000000007,0.0,72.0,2.0,61.4181,1.9167000000000007,2.6222103542806745,755.8191320480969,18.610365985079728,16.68063995447301,8.253065481419187,10.802436578254687,8.359691706718289,4.712511974155367,2.2704725416449865,3.443383636185063,1.3719871357934816,2.3451410141305065,0.8264189585313367,1.5938466789690406,0.5599999999999999,4.097878286936014,5.06049205892595,2.5691153773624187,0.5950598364375315,0.9870779600719961,0.0022352170760589745,0.16024075867302504,0.8616027463595408,385.4671457139531,2072.6284256817135,2405.5499294065853,3.2822910587675604,0.07791088378064191,0.1,14.0,3.0,2.0,106.0812017248828,0.0,0.0,0.0,0.0,0.0,105.27628677535486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54357785318446,28.40654182621511,0.0,0.0,4.992404732635669,0.0,6.496859684315945,45.83690267900368,0.0,0.0,5.712741725008318,0.0,23.36282483962363,11.540576670907427,0.0,0.0,15.158761384888534,40.24322260620103,9.258159548725928,0.0,0.0,106.0812017248828,0.8366593362592667,0.8430660474046875,0.8366593362592667,0.7407084568850449,1.0,0.0,0.421693632185082
1,ZINC40999755,24.0,[H]C1=C(C([H])([H])[N+]([H])([H])[H])N=C(c2c([H])c(Cl)c([H])c(Cl)c2[H])S1,1.0,1.0,False,40.0,,,258.98580106809004,1.4666666666666666,2.2,2.8666666666666667,251.09699999999998,,,260.1689999999999,0.0,78.0,2.0,66.4281,2.570100000000001,2.6222103542806745,758.5090879839897,18.610365985079728,16.058604427482233,9.386958900446869,10.802436578254687,8.048673943222902,5.279458683669208,2.4594547781496,4.010330345698904,1.4664782540457884,2.628614368887427,0.9151444400777097,1.967165980751017,0.8499999999999999,5.230715255771842,5.455739074642445,3.161420826497426,0.40642390112976323,0.9630890321773088,0.0009048402552596311,0.2691830531437198,0.7479674253854838,826.6292542111371,2296.9193186560447,3070.8814858779037,3.450308318066428,0.07508276426871754,0.1,15.0,3.0,2.0,114.97949745159669,0.0,0.0,0.0,0.0,0.0,114.4866827154952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.172819297014236,40.00748171644763,0.0,0.0,4.992404732635669,0.0,6.496859684315945,44.817117285081714,0.0,0.0,5.712741725008318,0.0,34.963764729856145,11.540576670907427,0.0,0.0,13.788002828718314,34.200803898537735,14.280792862467255,0.0,0.0,114.97949745159667,0.8856890737765665,0.89122976401665,0.8856890737765665,0.7734258693090457,1.0,0.0,0.4159041087188557
2,ZINC40999780,24.0,[H]C1=C(C([H])([H])[N+]([H])([H])[H])N=C(c2c([H])c([H])c(Cl)c(Cl)c2[H])S1,1.0,1.0,False,40.0,,,258.98580106809004,1.5333333333333334,2.4,3.2,251.09699999999998,,,260.1689999999999,0.0,78.0,2.0,66.42810000000001,2.5701,2.6222103542806745,758.5090879839897,18.610365985079728,16.058604427482233,9.38695890044687,10.802436578254687,8.048673943222902,5.279458683669208,2.4594547781496,4.010330345698904,1.5021925397600742,2.9500429403159987,0.8736645176574901,1.735583356347501,0.8500000000000001,5.230715255771842,5.455739074642445,2.9460565165545805,0.5672536146555607,0.9847108933512698,0.0015238539460222021,0.17419660305340057,0.8413596069824475,552.1261464582572,2666.7376369357053,3169.557481491192,3.5039185450055776,0.07418500790653652,0.1,15.0,3.0,2.0,114.97949745159666,0.0,0.0,0.0,0.0,0.0,114.48668271549518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.172819297014236,40.00748171644763,0.0,0.0,4.992404732635669,0.0,6.496859684315945,44.817117285081714,0.0,0.0,5.712741725008318,0.0,34.963764729856145,11.540576670907427,0.0,0.0,13.788002828718314,34.200803898537735,14.280792862467255,0.0,0.0,114.97949745159666,0.8856890737765665,0.89122976401665,0.8856890737765665,0.7734258693090457,1.0,0.0,0.41426919437358195
3,ZINC12370330,27.0,[H]C1=C(C([H])([H])[N+]([H])([H])C([H])([H])[H])N=C(c2c([H])c([H])c([H])c(Cl)c2[H])S1,1.0,1.0,False,28.97,,,239.04042348408998,1.8,2.7333333333333334,3.6,227.65499999999997,,,239.7510000000001,0.0,78.0,2.0,66.37940000000002,1.8680000000000014,2.6346429974375347,846.073555559309,21.11036598507973,19.180639954473005,8.753065481419187,12.052436578254689,9.63608490896831,4.936118771905346,2.3822759405199756,3.5551870350600527,1.427888835230976,2.4010427135680015,0.8793698082500839,1.6467975286877878,0.5599999999999999,4.04404459823145,5.759479555694771,3.2560008709536947,0.6244437146143297,0.9892504788097081,0.002028360182254826,0.14623094807448633,0.8771097974286738,432.4230997542236,2593.722754472667,2957.124366956564,3.5324343327100807,0.07453236643286566,0.18181818181818182,15.0,2.0,2.0,115.40799969397199,0.0,0.0,0.0,0.0,0.0,114.54264364338164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.834107820929017,28.40654182621511,0.0,0.0,4.992404732635669,0.0,13.47268658459819,45.83690267900368,0.0,0.0,5.30283810257042,0.0,23.36282483962363,18.51640357118967,0.0,0.0,19.271037053399194,40.24322260620103,7.846317470397728,0.0,0.0,115.40799969397202,0.874145922709114,0.8830297761014104,0.874145922709114,0.7513055063097133,1.0,0.0,0.4565530393267262
4,ZINC62792826,24.0,[H]C1=C(C([H])([H])[N+]([H])([H])[H])N=C(c2c([H])c([H])c(F)c(Cl)c2[H])S1,1.0,1.0,False,40.0,,,243.01535160809,1.7333333333333334,2.6,3.4,234.64199999999997,,,243.71400000000006,0.0,78.0,2.0,61.37610000000001,2.0558,2.6222103542806745,760.5090879839897,18.610365985079728,16.058604427482233,8.631029954428415,10.802436578254687,8.048673943222902,4.9014942106599815,2.4594547781496,3.632365872689677,1.5021925397600742,2.5467749895256704,0.8736645176574901,1.641092238095194,0.49000000000000005,5.00551212554066,5.213307883885354,2.784892039363784,0.5195288296583239,0.9799455067321214,0.0015022855962532296,0.19926566145607116,0.8183250063019112,544.7199975443098,2237.003566826256,2733.6370630240035,3.3638120390361803,0.07521211899183369,0.1,15.0,3.0,2.0,108.84176662764122,0.0,0.0,0.0,0.0,0.0,108.07074540024206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.563234344689054,28.40654182621511,0.0,0.0,4.992404732635669,0.0,6.496859684315945,45.611704812386286,0.0,0.0,5.712741725008318,0.0,23.36282483962363,11.540576670907427,0.0,5.817220841045895,13.788002828718314,34.200803898537735,9.258159548725928,0.0,0.0,108.84176662764122,0.8643328746569707,0.8703765293838547,0.8643328746569707,0.7591117696185903,1.0,0.0,0.4137744192411876
5,ZINC40999779,24.0,[H]C1=C(C([H])([H])[N+]([H])([H])[H])N=C(c2c([H])c([H])c([H])c(Cl)c2Cl)S1,1.0,1.0,False,40.0,,,258.98580106809004,1.6,2.466666666666667,3.2666666666666666,251.09699999999998,,,260.1689999999999,0.0,78.0,2.0,66.4281,2.570100000000001,2.6222103542806745,758.5090879839897,18.610365985079728,16.058604427482233,9.386958900446869,10.802436578254687,8.048673943222902,5.279458683669208,2.4594547781496,4.010330345698904,1.5494380988862275,3.0917796176944585,0.9140812927709645,1.972561194159493,0.8499999999999999,5.230715255771842,5.455739074642445,2.7519721724198885,0.41246416266693237,0.9643672503905388,0.0011545052084281978,0.26456720577991466,0.7557685630453617,654.6255118885982,1870.0177937565086,2474.3259844274166,3.0995415513137248,0.0763600676748329,0.1,15.0,3.0,2.0,114.97949745159669,0.0,0.0,0.0,0.0,0.0,114.4866827154952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.172819297014236,40.00748171644763,0.0,0.0,4.992404732635669,0.0,6.496859684315945,44.817117285081714,0.0,0.0,5.712741725008318,0.0,34.963764729856145,11.540576670907427,0.0,0.0,13.788002828718314,34.200803898537735,14.280792862467255,0.0,0.0,114.97949745159669,0.8856890737765665,0.89122976401665,0.8856890737765665,0.7734258693090457,1.0,0.0,0.4161212447705562
6,ZINC40999819,27.0,[H]C1=C(C([H])([H])[N+]([H])([H])C([H])([H])[H])N=C(c2c([H])c(Cl)c([H])c(Cl)c2[H])S1,1.0,1.0,False,28.97,,,273.0014511320903,1.5625,2.3125,3.0,263.10799999999995,,,274.19599999999974,0.0,84.0,2.0,71.38940000000002,2.5214000000000008,2.6346429974375347,849.0393577629526,21.11036598507973,18.558604427482233,9.886958900446869,12.052436578254689,9.325067145472921,5.5030654814191875,2.571258177024589,4.122133744573894,1.522379953483283,2.6845160683249225,0.9680952897964569,2.0201168304697643,0.8500000000000001,5.085888132304486,6.144766820932717,3.4224283555953376,0.43896984514463616,0.9690287085356388,0.0008556377028717383,0.24694809582937044,0.7723323310122129,902.6394330451647,2823.012726808,3655.178753307117,3.668656690635016,0.07220254990155209,0.18181818181818182,16.0,2.0,2.0,124.30629542068586,0.0,0.0,0.0,0.0,0.0,123.75303958352197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.463349264758797,40.00748171644763,0.0,0.0,4.992404732635669,0.0,13.47268658459819,44.817117285081714,0.0,0.0,5.30283810257042,0.0,34.963764729856145,18.51640357118967,0.0,0.0,17.900278497228975,34.200803898537735,12.868950784139054,0.0,0.0,124.30629542068587,0.9159047161600122,0.9238907314926559,0.9159047161600122,0.7786517320960644,1.0,0.0,0.4514374553857421
7,ZINC02563882,24.0,[H]C1=C(C([H])([H])[N+]([H])([H])[H])N=C(c2c([H])c([H])c(Cl)c([H])c2[H])S1,1.0,1.0,False,40.0,,,225.02477342008999,1.5714285714285714,2.357142857142857,3.0714285714285716,215.64399999999998,,,225.72400000000007,0.0,72.0,2.0,61.41810000000001,1.9167000000000016,2.6222103542806745,755.8191320480969,18.610365985079728,16.68063995447301,8.253065481419187,10.802436578254687,8.359691706718289,4.712511974155367,2.2704725416449865,3.4433836361850636,1.3719871357934816,2.3451410141305065,0.80279617896826,1.5229783402798107,0.5599999999999999,4.097878286936014,5.06049205892595,2.5691153773624187,0.6655744250753839,0.9918325253372933,0.002662171893287687,0.12754701753881761,0.8899934156945885,334.3110254971096,2332.744561400518,2621.0806959509305,3.4225314911854836,0.07662504930532386,0.1,14.0,3.0,2.0,106.0812017248828,0.0,0.0,0.0,0.0,0.0,105.27628677535486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.54357785318446,28.40654182621511,0.0,0.0,4.992404732635669,0.0,6.496859684315945,45.836902679003686,0.0,0.0,5.712741725008318,0.0,23.36282483962363,11.540576670907427,0.0,0.0,15.158761384888534,40.24322260620103,9.258159548725928,0.0,0.0,106.0812017248828,0.8366593362592667,0.8430660474046875,0.8366593362592667,0.7407084568850449,1.0,0.0,0.41941334600273517
8,ZINC00158876,24.0,[H]C1=C(C([H])([H])[N+]([H])([H])[H])N=C(c2c([H])c([H])c([H])c([H])c2[H])S1,1.0,1.0,False,40.0,,,191.06374577209,1.5384615384615385,2.3846153846153846,3.1538461538461537,180.19099999999997,,,191.27900000000008,0.0,66.0,2.0,56.40810000000002,1.2633000000000003,2.6222103542806745,750.9846651919603,18.610365985079728,17.30267548146378,7.119172062391506,10.802436578254687,8.670709470213675,4.145565264641527,2.081490305140373,2.8764369266712224,1.2774960175411747,2.0616676593735863,0.7555506198421067,1.3812416629013504,0.27,3.1285965674396765,4.668907825780596,2.3899712867888017,0.5198469670067988,0.9800712941037861,0.0026155512778467207,0.19864606332301155,0.8298906659594865,317.290917975312,1325.5574604227527,1597.2675857128675,2.910258945376449,0.07871720394730294,0.1,13.0,3.0,2.0,97.18290599816893,0.0,0.0,0.0,0.0,0.0,96.06589083521453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.91433640935468,16.805601935982597,0.0,0.0,4.992404732635669,0.0,6.496859684315945,46.85668807292565,0.0,0.0,5.712741725008318,0.0,11.761884949391115,11.540576670907427,0.0,0.0,16.529519941058755,46.285641313864325,4.235526234984602,0.0,0.0,97.18290599816893,0.7684109214437483,0.7772023967185813,0.7684109214437483,0.693048383055418,1.0,0.0,0.4193813811327462
9,ZINC70840481,27.0,[H]C1=C([C@]([H])(C([H])([H])[H])[N+]([H])([H])[H])N=C(c2c([H])c([H])c([H])c(Cl)c2[H])S1,1.0,1.0,False,40.0,,,239.04042348408998,1.8,2.7333333333333334,3.533333333333333,227.65499999999997,,,239.7510000000001,0.0,78.0,2.0,66.01310000000002,2.3051999999999997,2.7282282284288883,828.5637805549821,21.11036598507973,19.18063995447301,8.753065481419187,12.052436578254687,9.609691706718289,4.962511974155367,2.5072759405199756,3.680187035060053,1.490388835230976,2.4635427135680015,0.8798853264040754,1.6983440831497623,0.5599999999999999,4.04404459823145,5.260203712086918,3.024003067064655,0.628377720709371,0.9894998367827388,0.002139779223501956,0.1445339856467443,0.8691563654719396,406.1897395421388,2442.625491386576,2810.340680252931,3.4354261572489184,0.0642219099065597,0.18181818181818182,15.0,3.0,2.0,115.25608483961501,0.0,0.0,0.0,0.0,0.0,114.39072878902466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.285094965524895,28.40654182621511,0.0,0.0,4.992404732635669,12.869784585645323,0.0,45.83690267900368,0.0,0.0,5.712741725008318,0.0,23.36282483962363,11.061609454941127,0.0,0.0,24.75217061452465,40.24322260620103,9.258159548725928,0.0,0.0,115.25608483961504,0.8603472402663092,0.8659835100719463,0.8603472402663092,0.7569347476085414,1.0,0.0,0.3740474264615669
