,predictions
0,-9.874165747047627
1,-9.914149969403732
2,-10.968321740928038
3,-10.177723933959776
4,-10.737883895209261
5,-11.30012796909016
6,-10.21770815631588
7,-9.874165747047627
8,-9.83418152469152
9,-10.489394503623119
10,-10.489394503623119
11,-10.358911530189282
12,-11.271879927840185
13,-10.498136775376912
14,-10.529378725979225
15,-10.90622325636002
16,-10.529378725979225
17,-10.205971975209753
18,-10.371511339372342
19,-10.538120997733019
20,-10.811790036622176
21,-11.04144208212141
22,-10.163187755865476
23,-10.577762425727984
24,-10.358911530189282
25,-10.883641535687044
26,-11.583550497503527
27,-10.851774258978283
28,-11.140318043755311
29,-11.583550497503527
30,-11.005788128244363
31,-12.062867358959842
32,-10.739658294995824
33,-11.30764357125268
34,-12.109262914670403
35,-11.716160263541749
36,-10.163187755865476
37,-11.592292769257321
38,-11.60368615600231
39,-11.04577235060047
40,-10.177723933959774
41,-9.996635757209825
42,-10.98809052492416
43,-10.146767597895824
44,-11.353112651784755
45,-10.742429751126526
46,-11.353112651784755
47,-10.327416307174563
48,-10.137739711603668
49,-10.492193987039435
50,-10.856257122514
51,-11.20978144327217
52,-4.908431384252317
53,-11.905946030502587
54,-11.361854923538546
55,-10.245956197565858
56,-11.505669172544401
57,-9.631248748892903
58,-11.051011907920277
59,-11.820609252778866
60,-10.521365762707589
61,-10.578352769469474
62,-10.763533319801988
63,-10.897401679772386
64,-10.897401679772386
65,-10.782413973482633
66,-10.675069526284492
67,-10.856257122514
68,-10.737883895209261
69,-10.463360519426399
70,-10.662469717101432
71,-11.915356725665655
72,-11.915356725665655
73,-11.675508184783816
74,-11.924098997419447
75,-12.099944122124775
76,-9.229048589257726
77,-10.331527117016236
78,-10.739658294995824
79,-4.145289008750096
80,-9.671232971249012
81,-11.513719428789894
82,-11.587703395541961
83,-10.937385902128492
84,-10.937385902128492
85,-10.534978206383709
86,-10.509530162121898
87,-10.489394503623119
88,-10.489394503623119
89,-10.920876005935723
90,-11.363878883738497
91,-9.77892328918195
92,-11.869506276406002
93,-10.291143536888534
94,-12.16219486306417
95,-9.269032811613837
96,-10.466745942777628
97,-10.498136775376912
98,-9.836301895696922
99,-11.406789754356996
100,-11.406789754356996
101,-12.237752258664711
102,-11.836585745006932
103,-10.856257122514
104,-10.662469717101432
105,-11.187199722599196
106,-10.62853640996613
107,-10.521365762707589
108,-10.578352769469474
109,-10.98809052492416
110,-10.449410281267014
111,-10.449410281267014
112,-11.617269519659041
113,-9.450279019027619
114,-11.240923591776236
115,-10.828872709340953
116,-10.881320612640131
117,-10.371511339372342
118,-11.521452012935514
119,-11.530194284689305
120,-11.44387623066746
121,-11.521452012935514
122,-10.466745942777628
123,-10.327416307174563
124,-9.818907511538058
125,-10.45815255302081
126,-11.244158629405225
127,-12.019718450453901
128,-9.410294796671511
129,-11.991557673652794
130,-10.995482367701626
131,-12.431750350286901
132,-11.991557673652794
133,-11.217814521189524
134,-11.606147899288164
135,-11.217814521189524
136,-11.823655606720038
137,-11.010485746057464
138,-11.611201758164832
139,-11.043216481907976
140,-10.639900582862342
141,-10.725404742773314
142,-12.412821101582555
143,-12.366425545871998
144,-10.974140286764777
145,-10.974140286764777
146,-11.092539514161277
147,-9.766162893824175
148,-10.792366750600358
149,-10.811790036622176
150,-10.986740095947837
151,-10.986740095947837
152,-11.843847545934574
153,-9.786404843897557
154,-10.49496689705454
155,-11.051011907920277
156,-10.795752173951588
157,-11.159815309426152
158,-10.792366750600358
159,-10.334738712972893
160,-10.703317567534468
161,-10.982882558518572
162,-4.145289008750092
163,-11.291648711836313
164,-10.660533348190194
165,-11.159815309426152
166,-10.821200731785245
167,-10.82994300353904
168,-11.005788128244363
169,-10.821200731785245
170,-10.32320458313814
171,-11.76111982793402
172,-11.76111982793402
173,-11.257798743545631
174,-11.531467782434786
175,-11.531467782434786
176,-11.257798743545631
177,-5.211989571164484
178,-11.505669172544401
179,-10.660533348190194
180,-10.77180581426607
181,-10.98809052492416
182,-12.03784563755676
183,-11.755546800330805
184,-11.755546800330805
185,-10.870263619205424
186,-12.168391973169062
187,-11.309135628946894
188,-10.766408651106486
189,-12.43047532609838
190,-10.965803905888258
191,-11.06709150671414
192,-12.678096115535343
193,-11.922872327828177
194,-11.354887051571321
195,-11.354887051571321
196,-12.124167439691016
197,-11.922872327828177
198,-12.678096115535343
199,-10.635085303928388
200,-11.192991182303476
201,-10.549514384478007
202,-11.192991182303476
203,-11.201733454057269
204,-11.04144208212141
205,-11.571452004790892
206,-11.571452004790892
207,-10.787158784194768
208,-10.778416512440973
209,-10.778416512440973
210,-11.73098572924583
211,-10.95308440236806
212,-11.809227359456552
213,-10.974140286764777
214,-10.974140286764777
215,-11.296535819763832
216,-11.498870292262541
217,-12.7244916712459
218,-12.7244916712459
219,-10.625814751944704
220,-10.682801758706589
221,-11.354570094832429
222,-10.092766737419367
223,-10.982882558518572
224,-12.331389020117244
225,-12.331389020117244
226,-10.766918706338549
227,-11.507612564016334
228,-11.498870292262541
229,-12.16219486306417
230,-11.143596264784302
231,-10.742429751126526
232,-11.503133720569082
233,-11.764289072084603
234,-10.195993212797884
235,-11.49053391138602
236,-12.01987081425415
237,-13.025913011225807
238,-11.667437070650646
239,-10.778416512440973
240,-10.778416512440973
241,-10.78715878419477
242,-10.838536393295858
243,-13.513422726574774
244,-13.413485982437376
245,-13.317698952250964
246,-13.21776220811357
247,-10.334738712972893
248,-12.521879321712573
249,-12.34013129187104
250,-10.84410728423294
251,-5.393177167393987
252,-12.16219486306417
253,-11.132430896253105
254,-12.32336390181492
255,-11.774487260438924
256,-11.959383819428702
257,-12.311970515069937
258,-12.311970515069937
259,-12.32336390181492
260,-10.655010811300267
261,-10.700020043858558
262,-12.14145331728053
263,-10.702445528770427
264,-11.159815309426152
265,-10.642641437343588
266,-5.523660140827825
267,-5.523660140827825
268,-11.515386715302533
269,-10.675069526284492
270,-11.33759435640649
271,-11.695150170571264
272,-11.920827706571192
273,-4.44884719566226
274,-11.291648711836313
275,-10.920876005935723
276,-11.817277615702048
277,-12.733233942999693
278,-11.05721097093544
279,-12.686838387289134
280,-11.931614599581973
281,-11.363629323325116
282,-10.172056195875486
283,-11.578473848749562
284,-12.366071066917279
285,-11.10081204544003
286,-10.235977435153988
287,-11.453506733324087
288,-10.146767597895824
289,-11.48022815084329
290,-11.107422743614933
291,-11.107422743614933
292,-11.178825107208223
293,-11.116165015368725
294,-5.548858430821381
295,-9.05942174142671
296,-5.532402412581618
297,-11.239775343451242
298,-12.625623776315194
299,-12.625623776315194
300,-12.081532669351164
301,-12.081532669351164
302,-11.92945918908478
303,-11.92945918908478
304,-11.360801436470418
305,-12.077942333329865
306,-11.567174259784158
307,-12.062877840826756
308,-11.294810137062218
309,-11.748574944643686
310,-11.748574944643686
311,-11.48022815084329
312,-11.98970000137998
313,-11.666240664495769
314,-4.868447161896213
315,-11.224434192847873
316,-11.666240664495769
317,-11.296535819763832
318,-11.8212658252616
319,-11.603319281499658
320,-11.603319281499658
321,-11.61206155325345
322,-11.237750946762786
323,-10.897401679772386
324,-10.897401679772386
325,-10.38692302384603
326,-10.212040418231592
327,-10.38692302384603
328,-12.687373754881676
329,-11.00689472126205
330,-11.106831465399441
331,-10.73421084163693
332,-10.834147585774325
333,-11.471485879089496
334,-11.10081204544003
335,-11.471485879089496
336,-11.227175534268191
337,-12.015263916883786
338,-11.49053391138602
339,-11.309550812098355
340,-12.371891162999303
341,-11.814796930506262
342,-11.044125600174569
343,-12.271940424952051
344,-11.814796930506262
345,-11.353112651784755
346,-10.86118495414135
347,-10.86118495414135
348,-10.869927225895145
349,-11.709384806924723
350,-11.353112651784755
351,-10.964091535102344
352,-10.052032389859587
353,-11.095924937512509
354,-11.547716816317378
355,-12.43583800935436
356,-12.084990350559266
357,-11.677282584570378
358,-12.245267860827234
359,-12.43583800935436
360,-13.000491648534396
361,-12.653784553116305
362,-10.639900582862342
363,-11.396097701073426
364,-11.237750946762786
365,-11.277735169118895
366,-11.294810137062218
367,-10.106783375539722
368,-10.735727427852817
369,-11.296375165290922
370,-11.396311909428315
371,-11.382404471794347
372,-10.994721919681478
373,-10.961020765163914
374,-11.601703818135604
375,-12.289834102281487
376,-11.006875754446614
377,-9.6312487488929
378,-11.378762076377486
379,-11.378762076377486
380,-4.474295239924055
381,-11.095924937512509
382,-10.644113190220544
383,-11.38750434813128
384,-12.120897929119895
385,-12.120897929119895
