,predictions
0,-10.355
1,-10.355
2,-10.355
3,-10.355
4,-10.355
5,-10.355
6,-10.355
7,-10.355
8,-10.355
9,-10.355
10,-10.355
11,-10.355
12,-10.355
13,-10.355
14,-10.355
15,-10.355
16,-10.355
17,-10.355
18,-10.355
19,-10.355
20,-12.665
21,-10.355
22,-10.355
23,-10.355
24,-10.355
25,-10.355
26,-10.355
27,-12.665
28,-10.355
29,-10.355
30,-10.355
31,-10.355
32,-10.355
33,-10.355
34,-12.665
35,-10.355
36,-10.355
37,-10.355
38,-10.355
39,-10.355
40,-10.355
41,-12.665
42,-10.355
43,-10.355
44,-10.355
45,-10.355
46,-10.355
47,-10.355
48,-10.355
49,-10.355
50,-10.355
51,-10.355
52,-10.355
53,-12.665
54,-10.355
55,-10.355
56,-10.355
57,-12.665
58,-10.355
59,-10.355
60,-12.665
61,-10.355
62,-10.355
63,-10.355
64,-10.355
65,-10.355
66,-10.355
67,-10.355
68,-10.355
69,-10.355
70,-10.355
71,-10.355
72,-10.355
73,-12.665
74,-10.355
75,-10.355
76,-12.665
77,-10.355
78,-10.355
79,-10.355
80,-12.665
81,-10.355
82,-12.665
83,-10.355
84,-10.355
85,-10.355
86,-10.355
87,-10.355
88,-10.355
89,-10.355
90,-10.355
91,-12.665
92,-10.355
93,-12.665
94,-12.665
95,-12.665
96,-10.355
97,-10.355
98,-12.665
99,-10.355
100,-10.355
101,-12.665
102,-10.355
103,-10.355
104,-10.355
105,-10.355
106,-10.355
107,-12.665
108,-10.355
109,-10.355
110,-10.355
111,-10.355
112,-10.355
113,-10.355
114,-10.355
115,-10.355
116,-10.355
117,-10.355
118,-10.355
119,-10.355
120,-10.355
121,-10.355
122,-10.355
123,-10.355
124,-12.665
125,-10.355
126,-10.355
127,-10.355
128,-10.355
129,-10.355
130,-10.355
131,-10.355
132,-10.355
133,-10.355
134,-10.355
135,-10.355
136,-12.665
137,-10.355
138,-10.355
139,-10.355
140,-10.355
141,-12.665
142,-12.665
143,-10.355
144,-10.355
145,-10.355
146,-10.355
147,-10.355
148,-10.355
149,-12.665
150,-10.355
151,-10.355
152,-12.665
153,-10.355
154,-12.665
155,-10.355
156,-10.355
157,-10.355
158,-10.355
159,-10.355
160,-10.355
161,-10.355
162,-10.355
163,-10.355
164,-10.355
165,-10.355
166,-10.355
167,-10.355
168,-10.355
169,-10.355
170,-12.665
171,-10.355
172,-10.355
173,-10.355
174,-10.355
175,-10.355
176,-10.355
177,-10.355
178,-10.355
179,-10.355
180,-12.665
181,-10.355
182,-10.355
183,-10.355
184,-10.355
185,-12.665
186,-10.355
187,-12.665
188,-12.665
189,-12.665
190,-10.355
191,-10.355
192,-10.355
193,-10.355
194,-10.355
195,-10.355
196,-10.355
197,-10.355
198,-10.355
199,-10.355
200,-10.355
201,-10.355
202,-10.355
203,-10.355
204,-10.355
205,-10.355
206,-10.355
207,-10.355
208,-10.355
209,-10.355
210,-12.665
211,-10.355
212,-10.355
213,-10.355
214,-10.355
215,-10.355
216,-10.355
217,-12.665
218,-12.665
219,-12.665
220,-10.355
221,-10.355
222,-12.665
223,-10.355
224,-10.355
225,-10.355
226,-10.355
227,-10.355
228,-10.355
229,-12.665
230,-12.665
231,-10.355
232,-10.355
233,-10.355
234,-10.355
235,-10.355
236,-10.355
237,-12.665
238,-10.355
239,-10.355
240,-10.355
241,-10.355
242,-10.355
243,-12.665
244,-12.665
245,-12.665
246,-12.665
247,-10.355
248,-10.355
249,-10.355
250,-10.355
251,-10.355
252,-12.665
253,-10.355
254,-10.355
255,-10.355
256,-12.665
257,-10.355
258,-10.355
259,-10.355
260,-12.665
261,-12.665
262,-12.665
263,-10.355
264,-10.355
265,-12.665
266,-10.355
267,-10.355
268,-12.665
269,-10.355
270,-10.355
271,-12.665
272,-10.355
273,-10.355
274,-10.355
275,-10.355
276,-10.355
277,-12.665
278,-12.665
279,-10.355
280,-10.355
281,-10.355
282,-12.665
283,-10.355
284,-10.355
285,-12.665
286,-10.355
287,-10.355
288,-10.355
289,-10.355
290,-10.355
291,-10.355
292,-10.355
293,-10.355
294,-12.665
295,-10.355
296,-10.355
297,-10.355
298,-10.355
299,-10.355
300,-10.355
301,-10.355
302,-10.355
303,-10.355
304,-10.355
305,-10.355
306,-10.355
307,-12.665
308,-10.355
309,-10.355
310,-10.355
311,-10.355
312,-10.355
313,-10.355
314,-10.355
315,-10.355
316,-10.355
317,-10.355
318,-10.355
319,-10.355
320,-10.355
321,-10.355
322,-12.665
323,-10.355
324,-10.355
325,-12.665
326,-12.665
327,-12.665
328,-12.665
329,-12.665
330,-12.665
331,-12.665
332,-12.665
333,-10.355
334,-12.665
335,-10.355
336,-10.355
337,-10.355
338,-10.355
339,-10.355
340,-12.665
341,-10.355
342,-12.665
343,-10.355
344,-10.355
345,-10.355
346,-10.355
347,-10.355
348,-10.355
349,-10.355
350,-10.355
351,-10.355
352,-12.665
353,-10.355
354,-10.355
355,-10.355
356,-12.665
357,-10.355
358,-10.355
359,-10.355
360,-10.355
361,-10.355
362,-10.355
363,-10.355
364,-12.665
365,-10.355
366,-10.355
367,-10.355
368,-10.355
369,-12.665
370,-12.665
371,-10.355
372,-12.665
373,-12.665
374,-10.355
375,-10.355
376,-10.355
377,-12.665
378,-10.355
379,-10.355
380,-10.355
381,-10.355
382,-10.355
383,-10.355
384,-10.355
385,-10.355
386,-12.665
387,-12.665
388,-10.355
389,-10.355
390,-10.355
391,-10.355
392,-10.355
393,-10.355
394,-10.355
395,-10.355
396,-12.665
397,-10.355
398,-10.355
399,-10.355
400,-10.355
401,-12.665
402,-12.665
403,-10.355
404,-10.355
405,-10.355
406,-10.355
407,-10.355
408,-10.355
409,-10.355
410,-12.665
411,-10.355
412,-12.665
413,-12.665
414,-12.665
415,-12.665
416,-10.355
417,-10.355
418,-12.665
419,-12.665
420,-12.665
421,-10.355
422,-10.355
423,-10.355
424,-12.665
425,-10.355
426,-12.665
427,-10.355
428,-10.355
429,-10.355
430,-10.355
431,-12.665
432,-12.665
433,-12.665
434,-12.665
435,-12.665
436,-10.355
437,-10.355
438,-10.355
439,-10.355
440,-12.665
441,-10.355
442,-10.355
443,-12.665
444,-10.355
445,-12.665
446,-10.355
447,-12.665
448,-10.355
449,-10.355
450,-10.355
451,-12.665
452,-10.355
453,-12.665
454,-10.355
455,-10.355
456,-10.355
